,GPStime,snr,centralFreq,confidence,label
358,1257175129.313,7.62,1028.149,0.916,Low_Frequency_Lines
359,1257177068.328,7.755,20.195,0.996,Low_Frequency_Burst
360,1257177441.297,8.476,1461.986,0.946,Low_Frequency_Burst
361,1257178224.438,22.839,3983.241,0.988,Low_Frequency_Burst
362,1257178683.906,7.569,3945.854,0.998,Low_Frequency_Lines
363,1257180561.156,8.074,20.195,0.998,Low_Frequency_Burst
364,1257182035.625,7.672,3983.241,0.989,Low_Frequency_Lines
365,1257183492.719,22.931,1936.424,0.965,Power_Line
366,1257184182.172,7.622,49.976,0.999,Air_Compressor
367,1257185033.752,601.007,3945.854,1.0,Extremely_Loud
368,1257186098.859,8.206,20.195,0.995,Low_Frequency_Burst
369,1257187144.641,7.566,18.134,0.996,Low_Frequency_Burst
370,1257189571.609,15.402,3983.241,1.0,Low_Frequency_Burst
371,1257196394.75,9.504,3409.167,0.979,Low_Frequency_Lines
372,1257197043.031,10.615,1707.97,0.971,Low_Frequency_Lines
373,1257197178.701,10.566,3836.792,0.997,Blip
374,1257197566.68,8.115,47.964,0.999,Air_Compressor
375,1257198815.094,15.464,3998.194,0.996,Power_Line
376,1257199631.531,11.99,3881.874,0.904,Extremely_Loud
377,1257201831.623,7.664,3707.74,0.998,Blip
378,1257202324.356,12.549,207.515,0.998,Blip
379,1257202741.625,230.327,3983.241,0.999,Extremely_Loud
380,1257207746.531,9.577,26.59,1.0,Low_Frequency_Burst
381,1257208219.906,9.351,3703.979,0.916,Low_Frequency_Burst
382,1257208282.594,9.361,20.195,0.998,Low_Frequency_Burst
383,1257208893.801,7.852,3704.393,0.995,Air_Compressor
384,1257209659.313,8.495,3813.464,0.999,Low_Frequency_Lines
385,1257209913.241,16.206,3881.874,1.0,Blip
386,1257210173.055,7.786,197.812,0.994,Blip
387,1257210321.031,8.008,2061.918,0.989,Low_Frequency_Burst
388,1257211449.102,9.232,3703.979,1.0,Low_Frequency_Burst
389,1257211452.781,9.623,3703.979,0.998,Low_Frequency_Burst
390,1257211778.063,8.187,3983.762,0.999,Low_Frequency_Lines
391,1257212038.926,14.385,61.335,0.997,Tomte
392,1257212616.594,12.093,3409.167,0.999,Low_Frequency_Lines
393,1257212671.441,12.649,1101.395,0.996,Tomte
394,1257212907.844,10.918,3945.854,0.999,Low_Frequency_Lines
395,1257213001.918,8.082,53.292,0.996,Air_Compressor
396,1257213105.469,8.663,3835.788,0.987,Low_Frequency_Burst
397,1257213649.027,22.237,3872.13,0.993,Tomte
398,1257213984.391,7.983,20.195,0.999,Low_Frequency_Burst
399,1257214809.031,12.33,3983.241,0.968,Low_Frequency_Burst
400,1257214835.355,11.283,1928.011,0.937,Tomte
401,1257214903.469,10.693,23.057,0.989,Low_Frequency_Lines
402,1257215174.615,831.66,3983.241,0.997,Extremely_Loud
403,1257215182.813,8.125,312.437,0.932,Air_Compressor
404,1257217657.781,22.953,2706.379,0.985,Low_Frequency_Burst
405,1257218817.969,15.618,2509.909,0.998,Scattered_Light
406,1257218833.094,17.411,1928.011,0.985,Low_Frequency_Burst
407,1257219793.104,8.863,99.892,1.0,Blip
408,1257220704.059,7.635,3987.436,0.911,Blip
409,1257221097.156,13.668,3983.241,0.997,Low_Frequency_Burst
410,1257221305.219,8.367,1717.344,0.973,Low_Frequency_Lines
411,1257221833.156,10.383,1644.648,0.99,Low_Frequency_Lines
412,1257222457.281,11.083,3881.874,0.909,Low_Frequency_Lines
413,1257223364.672,10.087,3983.241,0.999,Low_Frequency_Burst
414,1257223613.219,10.783,3983.241,0.999,Low_Frequency_Burst
415,1257224334.232,17.61,3947.731,0.908,Tomte
416,1257224995.813,7.758,3704.983,0.987,Low_Frequency_Lines
417,1257225126.516,9.138,2486.379,1.0,Low_Frequency_Burst
418,1257225234.425,18.685,370.631,1.0,Blip
419,1257226335.281,19.478,3624.799,0.998,Scattered_Light
420,1257227374.094,17.778,30.952,0.997,Scattered_Light
421,1257227394.094,10.035,23.057,0.907,Low_Frequency_Lines
422,1257227687.531,9.447,3983.241,0.993,Low_Frequency_Burst
423,1257228416.93,9.079,53.578,0.999,Air_Compressor
424,1257229429.906,8.842,1506.581,0.974,Low_Frequency_Lines
425,1257231003.813,7.812,3945.854,0.999,Low_Frequency_Lines
426,1257231412.969,9.154,3983.241,0.989,Low_Frequency_Burst
427,1257233855.469,8.577,20.195,0.998,Low_Frequency_Burst
428,1257234180.156,7.64,20.838,0.929,Low_Frequency_Burst
429,1257236178.516,7.66,23.057,0.925,Low_Frequency_Burst
430,1257236426.938,12.526,23.057,0.99,Scattered_Light
431,1257237018.531,15.26,2973.356,1.0,Low_Frequency_Burst
432,1257237779.344,11.82,3983.241,0.96,Low_Frequency_Burst
433,1257238150.047,8.459,2731.998,1.0,Low_Frequency_Burst
