,GPStime,snr,centralFreq,confidence,label
387,1238479688.844,10.246,554.5,1.0,Low_Frequency_Lines
388,1238479754.453,8.247,1612.676,0.998,Low_Frequency_Burst
389,1238479754.453,8.247,1612.676,0.998,Low_Frequency_Burst
390,1238480119.188,7.707,32.829,1.0,Scattered_Light
391,1238480202.203,8.286,2360.253,0.91,Low_Frequency_Burst
392,1238480301.82,9.042,314.358,0.989,Whistle
393,1238482083.625,17.823,2081.292,0.909,Low_Frequency_Lines
394,1238482083.625,17.823,2081.292,0.909,Low_Frequency_Lines
395,1238482428.469,9.283,20.195,0.982,Low_Frequency_Lines
396,1238482761.113,7.608,26.59,0.971,Low_Frequency_Burst
397,1238483224.227,8.421,461.078,0.963,Whistle
398,1238483243.813,7.919,36.338,0.998,Scattered_Light
399,1238483472.438,10.342,3006.243,0.995,Low_Frequency_Lines
400,1238483795.406,9.097,572.654,0.954,Low_Frequency_Burst
401,1238485379.203,8.241,2651.052,0.982,Low_Frequency_Burst
402,1238485379.203,8.241,2651.052,0.982,Low_Frequency_Burst
403,1238486457.281,12.448,3703.979,0.974,Low_Frequency_Burst
404,1238487200.031,9.501,3746.261,0.997,Low_Frequency_Burst
405,1238487200.031,9.501,3746.261,0.997,Low_Frequency_Burst
406,1238487698.313,8.823,23.057,1.0,Low_Frequency_Burst
407,1238488356.813,23.218,2327.745,0.997,Scattered_Light
408,1238492058.563,11.097,3703.979,0.943,Low_Frequency_Lines
409,1238492559.717,17.279,3334.115,0.999,Blip
410,1238492559.717,17.279,3334.115,0.999,Blip
411,1238496023.617,7.846,415.372,0.904,Whistle
412,1238508724.367,8.444,350.016,0.909,Whistle
413,1238513392.922,22.912,55.139,0.999,Scattered_Light
414,1238514741.438,61.222,30.952,1.0,Scattered_Light
415,1238530913.375,11.246,3208.576,0.946,Scattered_Light
416,1238541002.41,9.22,75.727,0.91,Tomte
417,1238541002.41,9.22,75.727,0.91,Tomte
418,1238541002.41,9.22,75.727,0.91,Tomte
419,1238541002.41,9.22,75.727,0.91,Tomte
420,1238541910.971,413.586,2378.556,1.0,Extremely_Loud
421,1238542688.063,7.651,3591.164,0.993,Scattered_Light
422,1238546525.307,221.293,3983.241,0.995,Extremely_Loud
423,1238553475.014,6432.43,3983.241,1.0,Extremely_Loud
424,1238553475.014,6432.43,3983.241,1.0,Extremely_Loud
425,1238557068.934,13.191,3367.249,0.944,Blip
426,1238561967.314,11.446,112.576,0.987,Blip
427,1238561967.314,11.446,112.576,0.987,Blip
428,1238562456.245,9.724,175.97,0.99,Blip
429,1238562456.245,9.724,175.97,0.99,Blip
430,1238564374.148,7.755,1904.799,0.985,Whistle
431,1238574368.635,10.339,112.576,0.999,Blip
432,1238579164.938,7.561,20.838,0.981,Low_Frequency_Lines
433,1238579392.395,67.617,1928.011,0.99,Koi_Fish
434,1238579394.955,13.45,75.727,0.992,Tomte
435,1238580633.49,16.203,89.302,0.984,Tomte
436,1238590992.936,788.402,3983.241,1.0,Extremely_Loud
437,1238591081.596,3781.404,3983.241,1.0,Extremely_Loud
438,1238595303.274,12.733,248.315,1.0,Blip
439,1238596986.469,7.809,1936.424,0.974,Low_Frequency_Lines
440,1238598541.145,37.12,404.027,0.902,Tomte
441,1238598952.487,8.89,455.955,0.974,Whistle
442,1238600957.711,23.701,4028.576,0.935,Blip
443,1238601243.137,31.126,89.302,0.916,Tomte
444,1238603101.848,62.277,3419.757,1.0,Blip
445,1238613898.281,9.364,26.59,0.996,Scattered_Light
446,1238613906.313,9.418,30.952,0.964,Scattered_Light
447,1238613962.594,8.419,391.139,0.901,Scattered_Light
448,1238623021.842,185.404,2634.428,1.0,Koi_Fish
449,1238623210.029,8.543,63.212,0.998,Repeating_Blips
450,1238624191.219,7.766,28.602,0.968,Low_Frequency_Burst
451,1238629514.875,8.21,1335.499,0.993,Scattered_Light
452,1238633157.813,9.181,2081.292,0.993,Low_Frequency_Lines
